victim_race,victim_age,victim_sex,city,state,disposition,year
Hispanic,78,Male,Albuquerque,NM,Closed without arrest,2010
Hispanic,17,Male,Albuquerque,NM,Closed by arrest,2010
White,15,Female,Albuquerque,NM,Closed without arrest,2010
Hispanic,32,Male,Albuquerque,NM,Closed by arrest,2010
White,72,Female,Albuquerque,NM,Closed without arrest,2010
White,91,Female,Albuquerque,NM,Open/No arrest,2010
Hispanic,52,Male,Albuquerque,NM,Closed by arrest,2010
Hispanic,52,Female,Albuquerque,NM,Closed by arrest,2010
White,56,Male,Albuquerque,NM,Open/No arrest,2010
Hispanic,43,Male,Albuquerque,NM,Open/No arrest,2010
Hispanic,20,Male,Albuquerque,NM,Closed by arrest,2010
White,Unknown,Male,Albuquerque,NM,Closed without arrest,2010
Hispanic,46,Male,Albuquerque,NM,Open/No arrest,2010
Other,16,Male,Albuquerque,NM,Closed by arrest,2010
Hispanic,54,Male,Albuquerque,NM,Closed by arrest,2010
White,43,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,52,Male,Albuquerque,NM,Closed by arrest,2010
White,52,Male,Albuquerque,NM,Closed by arrest,2010
White,22,Female,Albuquerque,NM,Closed by arrest,2010
Hispanic,49,Male,Albuquerque,NM,Closed by arrest,2010
Black,15,Male,Albuquerque,NM,Closed by arrest,2010
Black,25,Male,Albuquerque,NM,Closed by arrest,2010
White,20,Male,Albuquerque,NM,Closed by arrest,2010
Other,47,Male,Albuquerque,NM,Closed by arrest,2010
White,88,Female,Albuquerque,NM,Closed without arrest,2010
Hispanic,27,Female,Albuquerque,NM,Closed by arrest,2010
White,36,Female,Albuquerque,NM,Closed without arrest,2010
White,47,Female,Albuquerque,NM,Closed without arrest,2010
Asian,1,Female,Albuquerque,NM,Closed without arrest,2010
Hispanic,58,Male,Albuquerque,NM,Open/No arrest,2010
Hispanic,42,Male,Albuquerque,NM,Closed without arrest,2010
Hispanic,50,Male,Albuquerque,NM,Closed by arrest,2010
Other,3,Female,Albuquerque,NM,Closed by arrest,2010
