,unknown1,unknown2,unknown3
0,-86.568502,230.76,34.783367999999996
1,-86.799345,189.57,33.505697
2,-86.17401,80.18,32.362609
3,-86.640449,197.56,34.724557
4,-86.295677,75.55,32.364317
5,-87.52959399999996,82.42,33.20701500000001
6,-87.545978,70.04,33.211875
7,-85.945266,206.46,32.92478
8,-86.964698,212.21,34.806793
9,-86.177544,70.96,32.36736
10,-85.488258,194.79,32.599378
11,-86.85055200000002,205.55,33.513774
12,-85.031485,151.3,32.42391
13,-86.216488,77.32,32.34268400000001
14,-85.836956,104.25,31.297496000000002
15,-87.778193,77.95,30.851343
16,-86.21641,72.3,32.384181
17,-85.991438,180.68,33.994001000000004
18,-86.196931,321.57,34.27871
19,-85.465836,112.58,31.315274
20,-86.781935,191.25,34.072439
21,-87.01329399999999,51.7,32.445917
22,-86.832465,251.95,33.468466
23,-86.284366,78.4,32.35103400000001
24,-87.663051,181.59,34.856153000000006
25,-86.572885,213.33,34.771858
26,-86.39236899999999,148.23,32.582312
27,-85.765321,216.13,33.822938
28,-86.707233,266.97,33.652535
29,-86.949674,175.45,34.645844
30,-87.315206,115.09,32.62925300000001
31,-86.88884399999998,180.74,33.450814
32,-88.186329,48.99,32.588132
33,-86.452262,102.39,31.322946999999996
34,-87.322041,106.51,32.623734000000006
35,-86.908751,193.29,33.482442
36,-88.128934,25.71,30.793246999999997
37,-86.865099,129.23,33.10625
38,-87.678089,156.18,34.739788
39,-87.681361,178.72,34.806738
40,-85.911664,395.93,34.545471
41,-86.65270500000004,229.0,34.756344
42,-86.96479699999998,107.13,31.460265000000003
43,-88.05698199999998,4.82,30.693972
44,-86.791799,212.86,33.464128
45,-87.032392,40.0,32.420387
46,-87.56148,64.69,33.120531
47,-86.16989699999998,321.44,34.201495
48,-88.17871099999998,51.65,30.696033
49,-88.138199,54.79,30.694751
50,-87.585278,67.57,33.200006
51,-86.11270400000002,177.52,33.433471999999995
52,-86.343057,53.32,32.350109
53,-85.957094,165.18,31.800672
54,-85.708492,127.06,32.4309
55,-87.91163,20.09,30.639328999999996
56,-87.266406,116.8,33.836929
57,-149.82619,44.37,61.190163
58,-149.111972,73.59,61.598553
59,-147.823146,163.72,64.85755999999999
60,-134.63825500000002,32.1,58.384845999999996
61,-149.804168,69.3,61.19096800000001
62,-149.444487,15.41,60.110626
63,-122.494766,88.82,45.617798
64,-149.856954,39.01,61.181443
65,-147.84896899999995,176.91,64.857516
66,-110.92718700000002,755.16,32.235657
67,-112.116105,371.97,33.561689
68,-111.853218,370.56,33.39248
69,-110.983056,714.27,32.224391
70,-111.657673,2103.84,35.194495
71,-110.87230500000001,767.08,32.237253
72,-112.157344,356.21,33.537248999999996
73,-112.112473,373.36,33.566102
74,-111.93438300000001,354.43,33.417721
75,-114.49596799999999,64.17,32.689306
76,-110.95081499999999,743.21,32.232671999999994
77,-110.92726499999999,738.51,32.252879
78,-111.652501,441.3,32.957091999999996
