date,value1,value2,year,month,day
1971-02-01,672.8,101.34,1971,02,01
1971-03-01,701.73,105.97,1971,03,01
1971-04-01,741.74,112.3,1971,04,01
1971-05-01,711.53,108.25,1971,05,01
1971-06-01,703.29,107.8,1971,06,01
1971-07-01,685.1,105.27,1971,07,01
1971-08-01,703.86,108.42,1971,08,01
1971-09-01,707.82,109.03,1971,09,01
1971-10-01,680.63,105.1,1971,10,01
1971-11-01,673.31,103.97,1971,11,01
1971-12-01,735.5,114.12,1971,12,01
1972-01-01,766.12,118.87,1972,01,01
1972-02-01,804.06,125.38,1972,02,01
1972-03-01,819.84,128.14,1972,03,01
1972-04-01,838.28,131.33,1972,04,01
1972-05-01,843.82,132.53,1972,05,01
1972-06-01,826.27,130.08,1972,06,01
1972-07-01,807.64,127.75,1972,07,01
1972-08-01,819.59,129.95,1972,08,01
1972-09-01,815.51,129.61,1972,09,01
1972-10-01,815.56,130.24,1972,10,01
1972-11-01,830.6,132.96,1972,11,01
1972-12-01,833.41,133.73,1972,12,01
1973-01-01,798.39,128.4,1973,01,01
1973-02-01,743.41,120.41,1973,02,01
1973-03-01,718.5,117.46,1973,03,01
1973-04-01,655.19,107.85,1973,04,01
1973-05-01,619.33,102.64,1973,05,01
1973-06-01,605.17,100.98,1973,06,01
1973-07-01,649.56,108.64,1973,07,01
1973-08-01,615.9,104.87,1973,08,01
1973-09-01,651.63,111.2,1973,09,01
1973-10-01,639.98,110.17,1973,10,01
1973-11-01,539.65,93.51,1973,11,01
1973-12-01,528.53,92.19,1973,12,01
1974-01-01,539.58,94.93,1974,01,01
1974-02-01,529.49,94.35,1974,02,01
1974-03-01,511.27,92.27,1974,03,01
1974-04-01,479.29,86.86,1974,04,01
1974-05-01,437.09,80.2,1974,05,01
1974-06-01,410.64,75.96,1974,06,01
1974-07-01,375.29,69.99,1974,07,01
1974-08-01,330.44,62.37,1974,08,01
1974-09-01,291.43,55.67,1974,09,01
1974-10-01,338.15,65.23,1974,10,01
1974-11-01,323.75,62.95,1974,11,01
1974-12-01,305.32,59.82,1974,12,01
1975-01-01,354.76,69.78,1975,01,01
1975-02-01,368.29,73.0,1975,02,01
1975-03-01,380.27,75.66,1975,03,01
1975-04-01,393.25,78.54,1975,04,01
1975-05-01,413.75,83.1,1975,05,01
1975-06-01,430.05,87.02,1975,06,01
1975-07-01,406.55,83.19,1975,07,01
1975-08-01,385.41,79.01,1975,08,01
1975-09-01,360.57,74.33,1975,09,01
1975-10-01,371.48,76.99,1975,10,01
1975-11-01,377.45,78.8,1975,11,01
1975-12-01,370.48,77.62,1975,12,01
1976-01-01,414.71,87.05,1976,01,01
1976-02-01,428.46,90.26,1976,02,01
1976-03-01,429.36,90.62,1976,03,01
1976-04-01,425.36,90.08,1976,04,01
1976-05-01,412.73,88.04,1976,05,01
1976-06-01,421.16,90.32,1976,06,01
1976-07-01,423.49,91.29,1976,07,01
1976-08-01,413.97,89.7,1976,08,01
1976-09-01,419.7,91.26,1976,09,01
1976-10-01,413.35,90.35,1976,10,01
1976-11-01,416.15,91.12,1976,11,01
1976-12-01,445.45,97.88,1976,12,01
1977-01-01,432.61,95.54,1977,01,01
1977-02-01,423.86,94.57,1977,02,01
1977-03-01,419.07,94.13,1977,03,01
1977-04-01,421.54,95.48,1977,04,01
1977-05-01,419.93,95.59,1977,05,01
1977-06-01,435.22,99.73,1977,06,01
1977-07-01,437.02,100.65,1977,07,01
1977-08-01,433.23,100.1,1977,08,01
1977-09-01,435.07,100.85,1977,09,01
1977-10-01,419.34,97.52,1977,10,01
1977-11-01,441.38,103.15,1977,11,01
1977-12-01,448.04,105.05,1977,12,01
1978-01-01,427.36,100.84,1978,01,01
1978-02-01,427.29,101.47,1978,02,01
1978-03-01,443.7,106.2,1978,03,01
1978-04-01,477.42,115.18,1978,04,01
1978-05-01,493.83,120.24,1978,05,01
1978-06-01,488.78,120.3,1978,06,01
1978-07-01,509.32,126.32,1978,07,01
1978-08-01,541.8,135.01,1978,08,01
1978-09-01,529.3,132.89,1978,09,01
1978-10-01,438.59,111.12,1978,10,01
1978-11-01,450.73,114.69,1978,11,01
1978-12-01,461.66,117.98,1978,12,01
1979-01-01,487.93,125.82,1979,01,01
1979-02-01,469.77,122.56,1979,02,01
1979-03-01,500.03,131.76,1979,03,01
1979-04-01,502.09,133.82,1979,04,01
1979-05-01,486.91,131.42,1979,05,01
1979-06-01,506.11,138.13,1979,06,01
1979-07-01,512.04,141.33,1979,07,01
1979-08-01,539.93,150.44,1979,08,01
1979-09-01,532.58,149.98,1979,09,01
1979-10-01,477.34,135.53,1979,10,01
1979-11-01,503.47,144.26,1979,11,01
1979-12-01,521.89,151.14,1979,12,01
1980-01-01,550.76,161.75,1980,01,01
1980-02-01,530.51,158.03,1980,02,01
1980-03-01,433.22,131.0,1980,03,01
1980-04-01,457.77,139.99,1980,04,01
1980-05-01,487.16,150.45,1980,05,01
1980-06-01,505.37,157.78,1980,06,01
1980-07-01,550.31,171.81,1980,07,01
1980-08-01,577.23,181.52,1980,08,01
1980-09-01,592.01,187.76,1980,09,01
1980-10-01,602.24,192.78,1980,10,01
1980-11-01,644.85,208.15,1980,11,01
1980-12-01,620.98,202.34,1980,12,01
1981-01-01,602.33,197.81,1981,01,01
1981-02-01,596.6,198.01,1981,02,01
1981-03-01,629.07,210.18,1981,03,01
1981-04-01,644.37,216.74,1981,04,01
1981-05-01,659.24,223.47,1981,05,01
1981-06-01,630.85,215.75,1981,06,01
1981-07-01,612.03,211.63,1981,07,01
1981-08-01,561.8,195.75,1981,08,01
1981-09-01,511.65,180.03,1981,09,01
1981-10-01,553.7,195.24,1981,10,01
1981-11-01,569.27,201.37,1981,11,01
1981-12-01,551.88,195.84,1981,12,01
1982-01-01,529.19,188.39,1982,01,01
1982-02-01,502.4,179.43,1982,02,01
1982-03-01,492.35,175.65,1982,03,01
1982-04-01,515.5,184.7,1982,04,01
1982-05-01,493.66,178.54,1982,05,01
1982-06-01,467.82,171.3,1982,06,01
1982-07-01,454.69,167.35,1982,07,01
1982-08-01,481.77,177.71,1982,08,01
1982-09-01,507.78,187.65,1982,09,01
1982-10-01,573.46,212.63,1982,10,01
1982-11-01,627.93,232.31,1982,11,01
1982-12-01,630.76,232.41,1982,12,01
1983-01-01,672.53,248.35,1983,01,01
1983-02-01,705.37,260.67,1983,02,01
1983-03-01,732.78,270.8,1983,03,01
1983-04-01,787.16,293.06,1983,04,01
1983-05-01,824.31,308.73,1983,05,01
1983-06-01,848.38,318.7,1983,06,01
1983-07-01,805.8,303.96,1983,07,01
1983-08-01,772.87,292.42,1983,08,01
1983-09-01,780.19,296.65,1983,09,01
1983-10-01,720.14,274.55,1983,10,01
1983-11-01,747.6,285.67,1983,11,01
1983-12-01,728.54,278.6,1983,12,01
1984-01-01,697.65,268.43,1984,01,01
1984-02-01,653.4,252.57,1984,02,01
1984-03-01,647.51,250.78,1984,03,01
1984-04-01,635.67,247.44,1984,04,01
1984-05-01,596.48,232.82,1984,05,01
1984-06-01,612.07,239.65,1984,06,01
1984-07-01,584.36,229.7,1984,07,01
1984-08-01,645.51,254.64,1984,08,01
1984-09-01,630.6,249.94,1984,09,01
1984-10-01,621.21,247.0,1984,10,01
1984-11-01,609.64,242.4,1984,11,01
1984-12-01,621.46,247.1,1984,12,01
1985-01-01,699.82,278.7,1985,01,01
1985-02-01,710.22,284.2,1985,02,01
1985-03-01,694.93,279.2,1985,03,01
1985-04-01,695.33,280.6,1985,04,01
1985-05-01,717.99,290.8,1985,05,01
1985-06-01,729.24,296.2,1985,06,01
1985-07-01,740.29,301.3,1985,07,01
1985-08-01,730.26,297.7,1985,08,01
1985-09-01,685.61,280.3,1985,09,01
1985-10-01,712.82,292.5,1985,10,01
1985-11-01,763.02,314.0,1985,11,01
1985-12-01,787.23,324.9,1985,12,01
1986-01-01,811.63,335.8,1986,01,01
1986-02-01,871.07,359.5,1986,02,01
1986-03-01,912.39,374.7,1986,03,01
1986-04-01,934.62,383.2,1986,04,01
1986-05-01,973.29,400.2,1986,05,01
1986-06-01,980.9,405.5,1986,06,01
1986-07-01,898.42,371.4,1986,07,01
1986-08-01,924.7,382.9,1986,08,01
1986-09-01,843.08,350.7,1986,09,01
1986-10-01,866.28,360.8,1986,10,01
1986-11-01,862.68,359.6,1986,11,01
1986-12-01,836.07,348.8,1986,12,01
1987-01-01,933.98,392.1,1987,01,01
1987-02-01,1008.53,425.0,1987,02,01
1987-03-01,1016.33,430.1,1987,03,01
1987-04-01,981.83,417.8,1987,04,01
1987-05-01,975.44,416.5,1987,05,01
1987-06-01,991.25,424.7,1987,06,01
1987-07-01,1012.45,434.9,1987,07,01
1987-08-01,1053.33,455.0,1987,08,01
1987-09-01,1023.22,444.3,1987,09,01
1987-10-01,742.62,323.3,1987,10,01
1987-11-01,700.43,305.2,1987,11,01
1987-12-01,758.5,330.5,1987,12,01
1988-01-01,789.02,344.7,1988,01,01
1988-02-01,837.86,367.0,1988,02,01
1988-03-01,851.84,374.6,1988,03,01
1988-04-01,857.75,379.2,1988,04,01
1988-05-01,834.66,370.3,1988,05,01
1988-06-01,886.1,394.7,1988,06,01
1988-07-01,865.62,387.3,1988,07,01
1988-08-01,838.31,376.6,1988,08,01
1988-09-01,857.2,387.7,1988,09,01
1988-10-01,843.03,382.5,1988,10,01
1988-11-01,818.04,371.5,1988,11,01
1988-12-01,838.32,381.4,1988,12,01
1989-01-01,877.64,401.3,1989,01,01
1989-02-01,870.55,399.7,1989,02,01
1989-03-01,880.91,406.7,1989,03,01
1989-04-01,920.2,427.6,1989,04,01
1989-05-01,954.87,446.2,1989,05,01
1989-06-01,928.93,435.3,1989,06,01
1989-07-01,966.14,453.8,1989,07,01
1989-08-01,997.73,469.3,1989,08,01
1989-09-01,1002.08,472.9,1989,09,01
1989-10-01,960.86,455.6,1989,10,01
1989-11-01,959.63,456.1,1989,11,01
1989-12-01,955.53,454.8,1989,12,01
1990-01-01,864.45,415.8,1990,01,01
1990-02-01,880.98,425.8,1990,02,01
1990-03-01,896.26,435.5,1990,03,01
1990-04-01,863.31,420.1,1990,04,01
1990-05-01,940.95,459.0,1990,05,01
1990-06-01,942.63,462.3,1990,06,01
1990-07-01,889.98,438.2,1990,07,01
1990-08-01,767.36,381.2,1990,08,01
