Year,Major,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Project1,Project2,Exam1,Exam2,Labs,Attendance,StudentID,Exam_Avg
first year,English-CW,75.0,83.33333333333334,100.0,100.0,83.33333333333334,0.0,91.66666666666666,83.33333333333334,91.66666666666666,83.33333333333334,90.41666666666667,96.85,93.9,87.8,48.0,83.3,1,90.85
first year,English-CW,91.66666666666666,100.0,83.33333333333334,100.0,66.66666666666666,91.66666666666666,75.0,87.5,95.83333333333334,83.33333333333334,90.41666666666667,98.85,90.6,86.1,48.0,88.9,2,88.35
second year,English-CW,83.33333333333334,83.33333333333334,91.66666666666666,100.0,100.0,100.0,91.66666666666666,95.83333333333334,91.66666666666666,79.16666666666666,93.75,101.75,94.4,89.39999999999998,48.0,81.1,3,91.89999999999999
fourth year+,Non-English,75.0,100.0,100.0,83.33333333333334,91.66666666666666,100.0,91.66666666666666,75.0,100.0,100.0,94.83333333333334,103.38,90.0,92.2,48.0,87.8,4,91.1
second year,Non-English,75.0,83.33333333333334,100.0,91.66666666666666,91.66666666666666,66.66666666666666,66.66666666666666,70.83333333333334,0.0,66.66666666666666,89.08333333333333,88.19,85.60000000000002,89.39999999999998,48.0,83.9,5,87.5
second year,English-Poetry,66.66666666666666,100.0,100.0,91.66666666666666,0.0,100.0,100.0,83.33333333333334,95.83333333333334,83.33333333333334,91.91666666666666,101.53,92.2,83.9,48.0,88.3,6,88.05000000000001
fourth year+,English-CW,75.0,91.66666666666666,91.66666666666666,83.33333333333334,91.66666666666666,83.33333333333334,100.0,91.66666666666666,95.83333333333334,95.83333333333334,89.33333333333334,99.72,87.2,82.2,48.0,81.1,7,84.7
second year,Non-English,66.66666666666666,0.0,100.0,100.0,91.66666666666666,91.66666666666666,100.0,91.66666666666666,91.66666666666666,95.83333333333334,86.25,101.85,91.7,89.39999999999998,48.0,87.5,8,90.54999999999998
third year,English-CW,83.33333333333334,0.0,91.66666666666666,91.66666666666666,91.66666666666666,75.0,91.66666666666666,83.33333333333334,0.0,91.66666666666666,86.25,94.35,86.7,93.9,48.0,90.6,9,90.30000000000001
third year,Non-English,83.33333333333334,91.66666666666666,100.0,100.0,91.66666666666666,100.0,91.66666666666666,79.16666666666666,95.83333333333334,95.83333333333334,97.58333333333334,103.71,95.6,97.2,48.0,95.6,10,96.4
third year,English-CW,75.0,83.33333333333334,100.0,91.66666666666666,83.33333333333334,100.0,91.66666666666666,79.16666666666666,95.83333333333334,95.83333333333334,86.08333333333333,99.33,91.1,95.0,48.0,82.8,11,93.05
third year,English-CW,91.66666666666666,0.0,91.66666666666666,91.66666666666666,83.33333333333334,0.0,100.0,91.66666666666666,100.0,100.0,94.74999999999999,101.37,85.0,83.9,48.0,85.60000000000002,12,84.45
second year,English-CW,100.0,100.0,100.0,100.0,91.66666666666666,91.66666666666666,100.0,95.83333333333334,79.16666666666666,100.0,93.75,105.75,97.8,94.4,48.0,96.7,13,96.1
first year,Non-English,91.66666666666666,100.0,100.0,100.0,91.66666666666666,91.66666666666666,100.0,95.83333333333334,100.0,91.66666666666666,94.74999999999999,104.87,95.6,92.8,48.0,93.3,14,94.19999999999999
fourth year+,English-Poetry,91.66666666666666,75.0,91.66666666666666,100.0,83.33333333333334,91.66666666666666,91.66666666666666,87.5,100.0,83.33333333333334,91.66666666666666,99.5,77.8,80.0,48.0,78.89999999999998,15,78.9
first year,English-CW,75.0,100.0,91.66666666666666,83.33333333333334,91.66666666666666,100.0,91.66666666666666,83.33333333333334,95.83333333333334,83.33333333333334,89.08333333333333,99.19,83.10000000000002,92.2,48.0,86.1,16,87.65
second year,English-Poetry,83.33333333333334,91.66666666666666,91.66666666666666,91.66666666666666,75.0,66.66666666666666,0.0,95.83333333333334,0.0,79.16666666666666,87.5,91.5,91.7,91.7,48.0,87.8,17,91.7
second year,English-CW,66.66666666666666,83.33333333333334,100.0,100.0,100.0,83.33333333333334,0.0,87.5,91.66666666666666,0.0,83.66666666666666,95.54,83.3,86.7,48.0,85.0,18,85.0
